 Host Star,# Planet, Planet Mass,Planet Mass, Orbital Period, Semi Major Axis,Discovery,Constellation,Visibility,V magnitude
HIP 14810,HIP 14810 b,3.88,1233.2,6.67,0.0692,2006,the Ram,Visible through binocular,8.5
,HIP 14810 c,1.28,406.8,147.73,0.545,2006,,,
OGLE-06-109L,OGLE-06-109L b,0.73,231.1,1790.00,2.3,2008,the Scorpion ,,
,OGLE-06-109L c,0.27,86.1,4931.00,4.5,2008,,,
,,,,,,,,,
,,,,,,,,,
1 star + 3 exoplanets (9 systems),,,,,,,,,
,,,,,,,,,
GJ 581,GJ 581 b,0.05,15.9,5.37,0.041,2005,the Scales,,10.6
,GJ 581 c,0.02,5.4,12.92,0.073,2007,,,
,GJ 581 d,0.02,6.0,66.64,0.22,2007,,,
Gliese 876,Gliese 876 b,1.93,612.5,61.03,0.208317,2000,the Water Bearer,,10.2
,Gliese 876 c,0.64,202.5,30.23,0.12959,2000,,,
,Gliese 876 d,0.02,5.4,1.94,0.02080665,2005,,,
HD 181433,HD 181433 b,0.02,7.6,9.37,0.08,2008,the Peacock ,Visible through binocular,8.4
,HD 181433 c,0.64,203.4,962.00,1.76,2008,,,
,HD 181433 d,0.54,171.6,2172.00,3,2008,,,
HD 37124,HD 37124 b,0.68,214.5,154.38,0.53364,1999,the Bull ,Visible through binocular,7.7
,HD 37124 c,0.65,207.2,885.50,1.71,2005,,,
,HD 37124 d,0.70,221.2,1862.00,2.807,2003,,,
HD 40307,HD 40307 b,0.01,4.0,4.31,0.0468,2008,the Painter's Easel ,Visible through binocular,7.2
,HD 40307 c,0.02,6.6,9.62,0.0799,2008,,,
,HD 40307 d,0.03,9.5,20.43,0.1321,2008,,,
HD 69830,HD 69830 b,0.033,10.5,8.667,0.0785,2006,the Stern ,Faint to the naked eye,6.0
,HD 69830 c,0.038,12.1,31.56,0.186,2006,,,
,HD 69830 d,0.06,18.4,197.00,0.63,2006,,,
HR 8799,HR 8799 b,7.00,2224.8,164250.00,68,2008,the Winged Horse ,Faint to the naked eye,6.0
,HR 8799 c,10.00,3178.3,82145.00,42.9,2008,,,
,HR 8799 d,10.00,3178.3,41054.00,27,2008,,,
PSR 1257 12,PSR 1257 12 b,0.00007,0.022,25.26,0.19,1992,the Maiden,,
,PSR 1257 12 c,0.01,4.1,66.54,0.36,1992,,,
,PSR 1257 12 d,0.01,3.8,98.21,0.46,1992,,,
upsilon Andromedae,upsilon Andromedae b,0.62,197.1,4.62,0.059,1996,the Chained Maiden,Visible to the naked eye,4.1
,upsilon Andromedae c,1.80,572.1,237.70,0.861,1999,,,
,upsilon Andromedae d,10.19,3238.7,1302.61,2.55,1999,,,
,,,,,,,,,
,,,,,,,,,
1 star + 4 exoplanets (1 system),,,,,,,,,
,,,,,,,,,
mu Arae,mu Arae b,1.68,532.7,643.25,1.5,2000,the Altar,Visible to the naked eye,5.2
,mu Arae c,0.03,10.6,9.64,0.09094,2004,,,
,mu Arae d,0.52,165.9,310.55,0.921,2004,,,
,mu Arae e,1.81,576.5,4205.80,5.235,2006,,,
,,,,,,,,,
,,,,,,,,,
1 star + 5 exoplanets (1 system),,,,,,,,,
,,,,,,,,,
55 Cancri,55  Cancri b,0.80,254.3,14.65,0.1134,1996,the Crab,Faint to the naked eye,6.0
,55  Cancri c,0.17,53.7,44.34,0.2403,2002,,,
,55  Cancri d,3.84,1218.9,5218.00,5.76,2002,,,
,55  Cancri e,0.03,8.3,0.74,0.0156,2004,,,
,55  Cancri f,0.14,45.8,260.70,0.781,2007,,,
